GeoKey;BillToAddressID;AddressLine1;AddressLine2;City;StateProvinceID;PostalCode;CountryRegionCode;State / Province;Country
AustraliaNew South WalesLavender Bay2060;405;25 Epping Road;;Lavender Bay;50;2060;AU;New South Wales;Australia
AustraliaNew South WalesLavender Bay2060;406;Ctrcrt Bus Pk/995-27 Paul St N;;Lavender Bay;50;2060;AU;New South Wales;Australia
AustraliaSouth AustraliaCloverdale6105;407;2-252 Beauchamp Road;Botany Bay Industrial Estate;Cloverdale;66;6105;AU;South Australia;Australia
AustraliaNew South WalesLavender Bay2060;408;65 Epping Rd;;Lavender Bay;50;2060;AU;New South Wales;Australia
AustraliaNew South WalesLane Cove1597;409;99 - 6 Orion Road;;Lane Cove;50;1597;AU;New South Wales;Australia
AustraliaNew South WalesNorth Ryde2113;411;Chabbell Park;;North Ryde;50;2113;AU;New South Wales;Australia
AustraliaNew South WalesLavender Bay2060;412;2520b Underwood Street;;Lavender Bay;50;2060;AU;New South Wales;Australia
AustraliaNew South WalesNorth Ryde2113;413;65 Epping Road;;North Ryde;50;2113;AU;New South Wales;Australia
AustraliaQueenslandHawthorne4171;414;5525 Glenferrie Road;;Hawthorne;64;4171;AU;Queensland;Australia
AustraliaNew South WalesNorth Sydney2055;415;2253 Miller Street;;North Sydney;50;2055;AU;New South Wales;Australia
AustraliaVictoriaSouth Melbourne3205;416;Level 100;77 Southbank Boulevard;South Melbourne;77;3205;AU;Victoria;Australia
AustraliaNew South WalesLavender Bay2060;417;Rosebery;;Lavender Bay;50;2060;AU;New South Wales;Australia
AustraliaVictoriaSeaford3198;418;Licensing Account;;Seaford;77;3198;AU;Victoria;Australia
AustraliaVictoriaMelbourne3000;419;Level 99;12 South 10th Avenue;Melbourne;77;3000;AU;Victoria;Australia
AustraliaNew South WalesNorth Ryde2113;420;Ctrcrt Bus Pk/995-27 Paul St N;;North Ryde;50;2113;AU;New South Wales;Australia
AustraliaNew South WalesNorth Sydney2055;421;2501 Miller Street;;North Sydney;50;2055;AU;New South Wales;Australia
AustraliaNew South WalesMatraville2036;422;6 Lord Street;;Matraville;50;2036;AU;New South Wales;Australia
AustraliaNew South WalesMatraville2036;423;Level 6;538 Climbing Street;Matraville;50;2036;AU;New South Wales;Australia
AustraliaSouth AustraliaFindon5023;424;P.O. Box 990032;;Findon;66;5023;AU;South Australia;Australia
AustraliaNew South WalesMilsons Point2061;426;2nd Floor;55 Lavender Street;Milsons Point;50;2061;AU;New South Wales;Australia
AustraliaNew South WalesNorth Sydney2055;427;258 Berry Street;;North Sydney;50;2055;AU;New South Wales;Australia
AustraliaNew South WalesSilverwater2264;428;85 Egerton Street;;Silverwater;50;2264;AU;New South Wales;Australia
AustraliaNew South WalesRhodes2138;431;Level 7;114 Albert Road;Rhodes;50;2138;AU;New South Wales;Australia
AustraliaNew South WalesMalabar2036;432;254a James Street Botany;;Malabar;50;2036;AU;New South Wales;Australia
AustraliaVictoriaMelbourne3000;433;Level 25;96 Lytton Rd.;Melbourne;77;3000;AU;Victoria;Australia
AustraliaNew South WalesDarlinghurst2010;435;2253-217 Palmer Street;;Darlinghurst;50;2010;AU;New South Wales;Australia
AustraliaNew South WalesRhodes2138;436;4250 Concord Road;;Rhodes;50;2138;AU;New South Wales;Australia
AustraliaVictoriaMelbourne3000;437;Level 992;56 Pitt Street;Melbourne;77;3000;AU;Victoria;Australia
AustraliaNew South WalesMatraville2036;438;Level 7;201 Sussex Street;Matraville;50;2036;AU;New South Wales;Australia
AustraliaNew South WalesRhodes2138;439;Level 5;157 Liverpool Street;Rhodes;50;2138;AU;New South Wales;Australia
AustraliaSouth AustraliaPerth6006;440;No. 6;Millenium Court;Perth;66;6006;AU;South Australia;Australia
AustraliaVictoriaMelbourne3000;442;45671 Queens Road Ct.;;Melbourne;77;3000;AU;Victoria;Australia
AustraliaNew South WalesNewcastle2300;443;Level 7;80 Arthur Street;Newcastle;50;2300;AU;New South Wales;Australia
AustraliaNew South WalesSydney1002;444;254a Baker Street;Botany;Sydney;50;1002;AU;New South Wales;Australia
CanadaBritish ColumbiaBurnabyV5A 3A6;445;6388 Lake City Way;;Burnaby;7;V5A 3A6;CA;British Columbia;Canada
CanadaOntarioTorontoM4B 1V7;446;52560 Free Street;;Toronto;57;M4B 1V7;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V7;447;22580 Free Street;;Toronto;57;M4B 1V7;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V6;448;2575 Bloor Street East;;Toronto;57;M4B 1V6;CA;Ontario;Canada
CanadaOntarioChalk RiberK0J 1J0;449;Station E;;Chalk Riber;57;K0J 1J0;CA;Ontario;Canada
CanadaQuebecQuebecG1R;450;575 Rue St Amable;;Quebec;63;G1R;CA;Quebec;Canada
CanadaAlbertaCalgaryT2P 2G8;451;2512-4th Ave Sw;;Calgary;1;T2P 2G8;CA;Alberta;Canada
CanadaOntarioTorontoM4B 1V6;452;55 Lakeshore Blvd East;;Toronto;57;M4B 1V6;CA;Ontario;Canada
CanadaQuebecMontrealH1Y 2H7;453;6333 Cote Vertu;;Montreal;63;H1Y 2H7;CA;Quebec;Canada
CanadaOntarioTorontoM4B 1V6;454;3255 Front Street West;;Toronto;57;M4B 1V6;CA;Ontario;Canada
CanadaOntarioWestonM9V 4W3;455;2550 Signet Drive;;Weston;57;M9V 4W3;CA;Ontario;Canada
CanadaBritish ColumbiaBurnabyV5H 3Z7;456;6777 Kingsway;;Burnaby;7;V5H 3Z7;CA;British Columbia;Canada
CanadaOntarioOttawaK4B 1S2;458;600 Slater Street;;Ottawa;57;K4B 1S2;CA;Ontario;Canada
CanadaOntarioEtobicokeM9W 3P3;459;25575 The Queensway;;Etobicoke;57;M9W 3P3;CA;Ontario;Canada
CanadaOntarioMarkhamL3S 3K2;460;2521 McPherson Street;;Markham;57;L3S 3K2;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V7;461;2560 Bay Street;;Toronto;57;M4B 1V7;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V7;462;630 University Avenue;;Toronto;57;M4B 1V7;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V7;463;992 St Clair Ave East;;Toronto;57;M4B 1V7;CA;Ontario;Canada
CanadaQuebecPnot-RougeJ1E 2T7;464;99, Rue Saint-pierre;;Pnot-Rouge;63;J1E 2T7;CA;Quebec;Canada
CanadaQuebecMontrealH1Y 2H5;465;25245 Rue Sherbrooke Ouest;;Montreal;63;H1Y 2H5;CA;Quebec;Canada
CanadaAlbertaCalgaryT2P 2G8;466;655-4th Ave S.W.;;Calgary;1;T2P 2G8;CA;Alberta;Canada
CanadaAlbertaCalgaryT2P 2G8;467;25900-700-9th Ave S.W.;;Calgary;1;T2P 2G8;CA;Alberta;Canada
CanadaBritish ColumbiaVancouverV7L 4J4;468;Po Box 83270;;Vancouver;7;V7L 4J4;CA;British Columbia;Canada
CanadaBritish ColumbiaVancouverV7L 4J4;469;400-25155 West Pender St;;Vancouver;7;V7L 4J4;CA;British Columbia;Canada
CanadaOntarioTorontoM4B 1V7;470;2511 Baker Road;;Toronto;57;M4B 1V7;CA;Ontario;Canada
CanadaQuebecMontrealH1Y 2H7;471;770 Notre Datme Quest Bureau 800;;Montreal;63;H1Y 2H7;CA;Quebec;Canada
CanadaBritish ColumbiaRichmondV6B 3P7;472;250551 Shellbridge Way;;Richmond;7;V6B 3P7;CA;British Columbia;Canada
CanadaBritish ColumbiaVancouverV7L 4J4;473;595 Burning Street;;Vancouver;7;V7L 4J4;CA;British Columbia;Canada
CanadaAlbertaCalgaryT2P 2G8;475;2512-410th Avenue S.W.;;Calgary;1;T2P 2G8;CA;Alberta;Canada
CanadaOntarioTorontoM4B 1V7;476;258 King Street East;;Toronto;57;M4B 1V7;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V7;478;2545 King Street West;;Toronto;57;M4B 1V7;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V5;480;25 First Canadian Place;;Toronto;57;M4B 1V5;CA;Ontario;Canada
CanadaQuebecHull8Y;481;65 Gamelin Street;;Hull;63;8Y;CA;Quebec;Canada
CanadaOntarioTorontoM4B 1V5;482;2500 University Avenue;;Toronto;57;M4B 1V5;CA;Ontario;Canada
CanadaOntarioOttawaK4B 1S1;483;955 Green Valley Crescent;;Ottawa;57;K4B 1S1;CA;Ontario;Canada
CanadaQuebecMontrealH1Y 2H8;484;2510 Crew Court;;Montreal;63;H1Y 2H8;CA;Quebec;Canada
CanadaQuebecBrossardJ4Z 1R4;485;9900-6400 Boul, Taschereau;;Brossard;63;J4Z 1R4;CA;Quebec;Canada
CanadaQuebecMontrealH1Y 2H7;486;600 Boul. Rene-levesque Ouest;;Montreal;63;H1Y 2H7;CA;Quebec;Canada
CanadaAlbertaCalgaryT2P 2G8;487;9259 - 1110th Avenue Sw;;Calgary;1;T2P 2G8;CA;Alberta;Canada
CanadaBritish ColumbiaBurnabyV5G 4S4;488;45259 Canada Way;;Burnaby;7;V5G 4S4;CA;British Columbia;Canada
CanadaOntarioTorontoM4B 1V5;489;9960 King Street E.;;Toronto;57;M4B 1V5;CA;Ontario;Canada
CanadaOntarioBarrieL4N;490;9979 Bayview Drive;;Barrie;57;L4N;CA;Ontario;Canada
CanadaQuebecMontrealH1Y 2H7;491;20225 Lansing Ave;;Montreal;63;H1Y 2H7;CA;Quebec;Canada
CanadaQuebecSainte-FoyG1W;492;99954 Boul. Laurier, Local 060, Place;;Sainte-Foy;63;G1W;CA;Quebec;Canada
