CustomerID;CustomerName;Customer;Phone;EmailAddress;EmailPromotion;Title
11000;Jon, Yang;11000 - Jon, Yang;1 (11) 500 555-0162;jon24@adventure-works.com;1;
11001;Eugene, Huang;11001 - Eugene, Huang;1 (11) 500 555-0110;eugene10@adventure-works.com;0;
11002;Ruben, Torres;11002 - Ruben, Torres;1 (11) 500 555-0184;ruben35@adventure-works.com;2;
11003;Christy, Zhu;11003 - Christy, Zhu;1 (11) 500 555-0162;christy12@adventure-works.com;0;
11004;Elizabeth, Johnson;11004 - Elizabeth, Johnson;1 (11) 500 555-0131;elizabeth5@adventure-works.com;1;
11005;Julio, Ruiz;11005 - Julio, Ruiz;1 (11) 500 555-0151;julio1@adventure-works.com;0;
11006;Janet, Alvarez;11006 - Janet, Alvarez;1 (11) 500 555-0184;janet9@adventure-works.com;0;
11007;Marco, Mehta;11007 - Marco, Mehta;1 (11) 500 555-0126;marco14@adventure-works.com;0;
11008;Rob, Verhoff;11008 - Rob, Verhoff;1 (11) 500 555-0164;rob4@adventure-works.com;0;
11009;Shannon, Carlson;11009 - Shannon, Carlson;1 (11) 500 555-0110;shannon38@adventure-works.com;1;
11010;Jacquelyn, Suarez;11010 - Jacquelyn, Suarez;1 (11) 500 555-0169;jacquelyn20@adventure-works.com;0;
11011;Curtis, Lu;11011 - Curtis, Lu;1 (11) 500 555-0117;curtis9@adventure-works.com;0;
11012;Lauren, Walker;11012 - Lauren, Walker;717-555-0164;lauren41@adventure-works.com;2;
11013;Ian, Jenkins;11013 - Ian, Jenkins;817-555-0185;ian47@adventure-works.com;1;
11014;Sydney, Bennett;11014 - Sydney, Bennett;431-555-0156;sydney23@adventure-works.com;0;
11015;Chloe, Young;11015 - Chloe, Young;208-555-0142;chloe23@adventure-works.com;1;
11016;Wyatt, Hill;11016 - Wyatt, Hill;135-555-0171;wyatt32@adventure-works.com;1;
11017;Shannon, Wang;11017 - Shannon, Wang;1 (11) 500 555-0195;shannon1@adventure-works.com;2;
11018;Clarence, Rai;11018 - Clarence, Rai;1 (11) 500 555-0137;clarence32@adventure-works.com;0;
11019;Luke, Lal;11019 - Luke, Lal;262-555-0112;luke18@adventure-works.com;0;
11020;Jordan, King;11020 - Jordan, King;550-555-0163;jordan73@adventure-works.com;0;
11021;Destiny, Wilson;11021 - Destiny, Wilson;622-555-0158;destiny7@adventure-works.com;0;
11022;Ethan, Zhang;11022 - Ethan, Zhang;589-555-0185;ethan20@adventure-works.com;1;
11023;Seth, Edwards;11023 - Seth, Edwards;452-555-0188;seth46@adventure-works.com;1;
11024;Russell, Xie;11024 - Russell, Xie;746-555-0186;russell7@adventure-works.com;2;
11025;Alejandro, Beck;11025 - Alejandro, Beck;1 (11) 500 555-0178;alejandro45@adventure-works.com;0;
11026;Harold, Sai;11026 - Harold, Sai;1 (11) 500 555-0131;harold3@adventure-works.com;0;
11027;Jessie, Zhao;11027 - Jessie, Zhao;1 (11) 500 555-0184;jessie16@adventure-works.com;1;
11028;Jill, Jimenez;11028 - Jill, Jimenez;1 (11) 500 555-0116;jill13@adventure-works.com;1;
11029;Jimmy, Moreno;11029 - Jimmy, Moreno;1 (11) 500 555-0146;jimmy9@adventure-works.com;0;
11030;Bethany, Yuan;11030 - Bethany, Yuan;1 (11) 500 555-0182;bethany10@adventure-works.com;0;
11031;Theresa, Ramos;11031 - Theresa, Ramos;1 (11) 500 555-0195;theresa13@adventure-works.com;0;
11032;Denise, Stone;11032 - Denise, Stone;1 (11) 500 555-0169;denise10@adventure-works.com;1;
11033;Jaime, Nath;11033 - Jaime, Nath;1 (11) 500 555-0137;jaime41@adventure-works.com;2;
11034;Ebony, Gonzalez;11034 - Ebony, Gonzalez;1 (11) 500 555-0136;ebony19@adventure-works.com;0;
11035;Wendy, Dominguez;11035 - Wendy, Dominguez;1 (11) 500 555-0177;wendy12@adventure-works.com;2;
11036;Jennifer, Russell;11036 - Jennifer, Russell;115-555-0183;jennifer93@adventure-works.com;2;
11037;Chloe, Garcia;11037 - Chloe, Garcia;229-555-0112;chloe27@adventure-works.com;0;
11038;Diana, Hernandez;11038 - Diana, Hernandez;1 (11) 500 555-0114;diana2@adventure-works.com;0;
11039;Marc, Martin;11039 - Marc, Martin;1 (11) 500 555-0183;marc3@adventure-works.com;0;
11040;Jesse, Murphy;11040 - Jesse, Murphy;961-555-0176;jesse15@adventure-works.com;1;
11041;Amanda, Carter;11041 - Amanda, Carter;295-555-0145;amanda53@adventure-works.com;0;
11042;Megan, Sanchez;11042 - Megan, Sanchez;404-555-0199;megan28@adventure-works.com;0;
11043;Nathan, Simmons;11043 - Nathan, Simmons;296-555-0181;nathan11@adventure-works.com;1;
11044;Adam, Flores;11044 - Adam, Flores;1 (11) 500 555-0163;adam10@adventure-works.com;0;
11045;Leonard, Nara;11045 - Leonard, Nara;1 (11) 500 555-0151;leonard18@adventure-works.com;0;
11046;Christine, Yuan;11046 - Christine, Yuan;1 (11) 500 555-0113;christine4@adventure-works.com;2;
11047;Jaclyn, Lu;11047 - Jaclyn, Lu;1 (11) 500 555-0137;jaclyn12@adventure-works.com;2;
11048;Jeremy, Powell;11048 - Jeremy, Powell;1 (11) 500 555-0183;jeremy26@adventure-works.com;1;
11049;Carol, Rai;11049 - Carol, Rai;654-555-0180;carol8@adventure-works.com;2;
11050;Alan, Zheng;11050 - Alan, Zheng;1 (11) 500 555-0135;alan23@adventure-works.com;0;
11052;Heidi, Lopez;11052 - Heidi, Lopez;1 (11) 500 555-0168;heidi19@adventure-works.com;1;
11053;Ana, Price;11053 - Ana, Price;859-555-0113;ana0@adventure-works.com;1;
11054;Deanna, Munoz;11054 - Deanna, Munoz;1 (11) 500 555-0192;deanna33@adventure-works.com;2;
11055;Gilbert, Raje;11055 - Gilbert, Raje;1 (11) 500 555-0129;gilbert35@adventure-works.com;1;
11056;Michele, Nath;11056 - Michele, Nath;1 (11) 500 555-0178;michele19@adventure-works.com;0;
11057;Carl, Andersen;11057 - Carl, Andersen;1 (11) 500 555-0181;carl12@adventure-works.com;0;
11058;Marc, Diaz;11058 - Marc, Diaz;1 (11) 500 555-0149;marc6@adventure-works.com;0;
11059;Ashlee, Andersen;11059 - Ashlee, Andersen;1 (11) 500 555-0112;ashlee19@adventure-works.com;0;
11060;Jon, Zhou;11060 - Jon, Zhou;1 (11) 500 555-0174;jon28@adventure-works.com;0;
