CustomerID;TotalPurchaseYTD;DateFirstPurchase;BirthDate;MaritalStatus;YearlyIncome;Gender;Have Child(ren);TotalChildren;NumberChildrenAtHome;Education;Occupation;HomeOwnerFlag;NumberCarsOwned
11000;8248.99;7/22/2001 12:00:00 AM;4/8/1966;M;75001-100000;M;YES;2;0;Bachelors;Professional;1;0
11001;6383.88;7/18/2001 12:00:00 AM;5/14/1965;S;50001-75000;M;YES;3;3;Bachelors;Professional;0;1
11002;8114.04;7/10/2001 12:00:00 AM;8/12/1965;M;50001-75000;M;YES;3;3;Bachelors;Professional;1;1
11003;8139.29;7/1/2001 12:00:00 AM;2/15/1968;S;50001-75000;F;NO;0;0;Bachelors;Professional;0;1
11004;8196.01;7/26/2001 12:00:00 AM;8/8/1968;S;75001-100000;F;YES;5;5;Bachelors;Professional;1;4
11005;8121.33;7/2/2001 12:00:00 AM;8/5/1965;S;50001-75000;M;NO;0;0;Bachelors;Professional;1;1
11006;8119.03;7/27/2001 12:00:00 AM;12/6/1965;S;50001-75000;F;NO;0;0;Bachelors;Professional;1;1
11007;8211;7/12/2001 12:00:00 AM;5/9/1964;M;50001-75000;M;YES;3;3;Bachelors;Professional;1;2
11008;8106.31;7/28/2001 12:00:00 AM;7/7/1964;S;50001-75000;F;YES;4;4;Bachelors;Professional;1;3
11009;8091.33;7/30/2001 12:00:00 AM;4/1/1964;S;50001-75000;M;NO;0;0;Bachelors;Professional;0;1
11010;8088.04;7/17/2001 12:00:00 AM;2/6/1964;S;50001-75000;F;NO;0;0;Bachelors;Professional;0;1
11011;8133.04;7/2/2001 12:00:00 AM;11/4/1963;M;50001-75000;M;YES;4;4;Bachelors;Professional;1;4
11012;81.26;9/17/2003 12:00:00 AM;1/18/1968;M;75001-100000;F;YES;2;0;Bachelors;Management;1;2
11013;113.96;10/15/2003 12:00:00 AM;8/6/1968;M;75001-100000;M;YES;2;0;Bachelors;Management;1;3
11014;138.45;9/24/2003 12:00:00 AM;5/9/1968;S;75001-100000;F;YES;3;0;Bachelors;Management;0;3
11015;2500.97;7/22/2003 12:00:00 AM;2/27/1979;S;25001-50000;F;NO;0;0;Partial College;Skilled Manual;0;1
11016;2332.28;8/13/2003 12:00:00 AM;4/28/1979;M;25001-50000;M;NO;0;0;Partial College;Skilled Manual;1;1
11017;6434.31;7/15/2001 12:00:00 AM;6/26/1944;S;0-25000;F;YES;4;0;High School;Skilled Manual;1;2
11018;6533.28;7/20/2001 12:00:00 AM;10/9/1944;S;25001-50000;M;YES;2;0;Partial College;Clerical;1;2
11019;882.7;8/16/2003 12:00:00 AM;3/7/1978;S;25001-50000;M;NO;0;0;High School;Skilled Manual;0;2
11020;2316.97;7/2/2003 12:00:00 AM;9/20/1978;S;25001-50000;M;NO;0;0;High School;Skilled Manual;0;2
11021;2371.96;7/27/2003 12:00:00 AM;9/3/1978;S;25001-50000;F;NO;0;0;Partial College;Skilled Manual;0;1
11022;2322.28;7/24/2003 12:00:00 AM;10/12/1978;M;25001-50000;M;NO;0;0;Partial College;Skilled Manual;1;1
11023;122.24;8/21/2003 12:00:00 AM;10/11/1978;M;25001-50000;M;NO;0;0;Partial College;Skilled Manual;1;1
11024;56.51;12/29/2003 12:00:00 AM;9/17/1978;M;50001-75000;M;NO;0;0;Partial College;Skilled Manual;1;2
11025;6576.8;7/9/2001 12:00:00 AM;12/23/1945;M;0-25000;M;YES;2;1;Partial High School;Clerical;1;2
11026;6575.79;7/26/2001 12:00:00 AM;4/3/1946;S;25001-50000;M;YES;2;0;Partial College;Clerical;0;2
11027;6591.57;7/19/2001 12:00:00 AM;12/7/1946;M;25001-50000;M;YES;2;0;Partial College;Clerical;1;2
11028;6474.62;7/29/2001 12:00:00 AM;4/11/1946;M;25001-50000;F;YES;2;0;Partial College;Clerical;1;2
11029;6565.29;7/22/2001 12:00:00 AM;12/21/1946;M;25001-50000;M;YES;2;0;Partial College;Clerical;1;2
11030;6471.32;8/8/2001 12:00:00 AM;2/22/1947;M;0-25000;F;YES;2;1;Partial High School;Clerical;1;2
11031;6478.6;8/4/2001 12:00:00 AM;8/22/1947;M;0-25000;F;YES;4;0;High School;Skilled Manual;1;2
11032;6525.56;8/21/2001 12:00:00 AM;6/11/1947;M;0-25000;F;YES;4;0;High School;Skilled Manual;1;2
11033;6495.29;8/18/2001 12:00:00 AM;9/23/1947;M;0-25000;M;YES;4;0;High School;Skilled Manual;1;2
11034;6491.32;8/4/2001 12:00:00 AM;6/19/1947;M;0-25000;F;YES;4;0;High School;Skilled Manual;1;2
11035;6451.31;8/9/2001 12:00:00 AM;2/24/1948;M;0-25000;F;YES;2;1;Partial High School;Clerical;1;2
11036;2354.98;7/26/2003 12:00:00 AM;12/18/1978;M;50001-75000;F;NO;0;0;Partial College;Skilled Manual;1;2
11037;2374.23;7/24/2003 12:00:00 AM;11/27/1977;S;25001-50000;F;NO;0;0;Partial High School;Clerical;0;2
11038;6437.33;8/10/2001 12:00:00 AM;3/23/1948;M;0-25000;F;YES;2;1;Partial High School;Clerical;1;2
11039;6636.58;8/10/2001 12:00:00 AM;12/17/1948;M;25001-50000;M;YES;3;0;Partial College;Clerical;1;2
11040;2350.96;10/5/2003 12:00:00 AM;8/1/1977;M;25001-50000;M;NO;0;0;Partial College;Skilled Manual;1;2
11041;2380.47;7/18/2003 12:00:00 AM;10/16/1977;M;50001-75000;F;NO;0;0;Partial College;Skilled Manual;1;2
11042;3112.33;7/25/2003 12:00:00 AM;6/13/1977;M;50001-75000;F;NO;0;0;Partial College;Skilled Manual;1;2
11043;47.98;11/9/2003 12:00:00 AM;2/24/1976;M;50001-75000;M;NO;0;0;Partial College;Skilled Manual;1;2
11044;6515.3;8/31/2001 12:00:00 AM;5/24/1949;M;0-25000;M;YES;2;1;Partial High School;Clerical;1;2
11045;114.96;10/12/2003 12:00:00 AM;5/19/1950;S;25001-50000;M;YES;3;0;High School;Skilled Manual;0;2
11046;6616.81;8/9/2001 12:00:00 AM;3/22/1950;M;25001-50000;F;YES;3;0;High School;Skilled Manual;1;2
11047;6582.33;8/6/2001 12:00:00 AM;2/27/1950;M;25001-50000;F;YES;3;0;High School;Skilled Manual;0;2
11048;6498.24;8/13/2001 12:00:00 AM;11/22/1950;M;25001-50000;M;YES;3;0;High School;Skilled Manual;1;2
11049;81.26;9/10/2003 12:00:00 AM;7/18/1980;S;25001-50000;F;NO;0;0;Partial High School;Clerical;1;2
11050;5007.3;8/23/2001 12:00:00 AM;9/7/1951;M;25001-50000;M;YES;3;0;High School;Skilled Manual;1;2
11052;8131.32;8/20/2001 12:00:00 AM;8/7/1951;S;25001-50000;F;YES;2;0;Partial College;Clerical;0;2
